40	60	41	27	94	3	65
40	60	46	27	82	12	51
40	60	47	27	0	40	0
40	60	69	27	40	11	33
40	60	42	27	49	2	64
40	60	50	27	0	4	19
40	45	54	95	73	68	25
40	45	52	95	91	58	34
40	45	41	95	94	66	25
40	45	46	95	82	50	33
40	45	47	95	0	98	0
40	45	69	95	40	74	20
40	45	42	95	49	65	22
40	45	50	95	0	81	4
40	54	52	73	91	15	58
40	54	41	73	94	16	64
40	54	46	73	82	11	47
40	54	47	73	0	67	4
40	54	69	73	40	48	18
40	54	42	73	49	23	40
40	54	50	73	0	74	3
40	52	41	91	94	24	30
40	52	46	91	82	47	18
40	52	47	91	0	84	2
40	52	69	91	40	78	0
40	52	42	91	49	56	18
40	52	50	91	0	78	4
40	41	46	94	82	46	26
40	41	47	94	0	86	0
40	41	69	94	40	59	11
40	41	42	94	49	64	18
40	41	50	94	0	79	1
40	46	47	82	0	83	0
40	46	69	82	40	63	5
40	46	42	82	49	33	24
40	46	50	82	0	83	0
40	47	69	0	40	0	1
40	47	42	0	49	0	72
40	47	50	0	0	0	2
40	69	42	40	49	28	13
40	69	50	40	0	57	1
40	42	50	49	0	51	1
42	27	55	66	37	65	7
42	27	43	66	98	8	62
42	27	30	66	25	60	7
42	27	44	66	81	58	22
42	27	46	66	76	55	9
42	27	40	66	71	52	12
42	27	45	66	70	18	50
42	27	52	66	0	71	0
42	27	69	66	2	74	0
42	27	41	66	74	34	28
42	27	48	66	86	9	23
42	55	43	37	98	11	74
42	55	30	37	25	28	11
42	55	44	37	81	5	47
42	55	46	37	76	8	45
42	55	40	37	71	9	52
42	55	45	37	70	8	53
42	55	52	37	0	41	0
42	55	69	37	2	40	0
42	55	41	37	74	6	48
42	55	48	37	86	15	76
42	43	30	98	25	81	8
42	43	44	98	81	79	13
42	43	46	98	76	75	9
42	43	40	98	71	69	13
42	43	45	98	70	69	15
42	43	52	98	0	99	0
42	43	69	98	2	99	0
42	43	41	98	74	65	20
42	43	48	98	86	60	21
42	30	44	25	81	4	42
42	30	46	25	76	3	64
42	30	40	25	71	10	64
42	30	45	25	70	7	59
42	30	52	25	0	24	2
42	30	69	25	2	13	0
42	30	41	25	74	10	47
42	30	48	25	86	4	70
42	44	46	81	76	22	25
42	44	40	81	71	11	36
42	44	45	81	70	7	53
42	44	52	81	0	69	0
42	44	69	81	2	79	1
42	44	41	81	74	11	52
42	44	48	81	86	10	74
42	46	40	76	71	20	31
42	46	45	76	70	24	43
42	46	52	76	0	78	0
42	46	69	76	2	70	0
42	46	41	76	74	17	48
42	46	48	76	86	6	57
42	40	45	71	70	17	47
42	40	52	71	0	56	9
42	40	69	71	2	72	1
42	40	41	71	74	19	35
42	40	48	71	86	18	51
42	45	52	70	0	74	2
42	45	69	70	2	75	0
42	45	41	70	74	53	21
42	45	48	70	86	48	30
42	52	69	0	2	4	5
42	52	41	0	74	2	69
42	52	48	0	86	1	76
42	69	41	2	74	8	67
42	69	48	2	86	5	72
42	41	48	74	86	10	23
43	52	42	61	100	14	78
43	52	78	61	17	55	4
43	52	55	61	64	22	47
43	52	45	61	72	49	0
43	52	30	61	73	10	27
43	52	38	61	53	20	13
43	52	41	61	68	17	50
43	52	48	61	99	7	70
43	42	78	100	17	91	0
43	42	55	100	64	73	15
43	42	45	100	72	84	3
43	42	30	100	73	73	16
43	42	38	100	53	81	3
43	42	41	100	68	72	17
43	42	48	100	99	34	43
43	78	55	17	64	6	64
43	78	45	17	72	16	0
43	78	30	17	73	1	60
43	78	38	17	53	10	48
43	78	41	17	68	8	63
43	78	48	17	99	4	89
43	55	45	64	72	53	4
43	55	30	64	73	51	23
43	55	38	64	53	42	14
43	55	41	64	68	28	23
43	55	48	64	99	20	66
43	45	30	72	73	10	35
43	45	38	72	53	20	16
43	45	41	72	68	23	48
43	45	48	72	99	16	67
43	30	38	73	53	28	9
43	30	41	73	68	24	40
43	30	48	73	99	23	68
43	38	41	53	68	8	49
43	38	48	53	99	8	74
43	41	48	68	99	9	66
44	38	42	53	75	6	44
45	54	42	74	70	17	54
45	54	41	74	98	9	59
45	54	50	74	73	15	19
45	54	27	74	76	12	52
45	54	40	74	97	18	69
45	54	69	74	39	62	3
45	54	46	74	82	11	58
45	54	47	74	1	60	0
45	54	52	74	62	18	58
45	54	43	74	43	39	10
45	42	41	70	98	20	66
45	42	50	70	73	34	20
45	42	27	70	76	38	22
45	42	40	70	97	16	55
45	42	69	70	39	60	7
45	42	46	70	82	18	63
45	42	47	70	1	73	0
45	42	52	70	62	24	52
45	42	43	70	43	59	21
45	41	50	98	73	55	24
45	41	27	98	76	67	28
45	41	40	98	97	63	31
45	41	69	98	39	91	3
45	41	46	98	82	59	28
45	41	47	98	1	99	1
45	41	52	98	62	69	21
45	41	43	98	43	59	22
45	50	27	73	76	21	51
