11	5	20	71	100	8	76	40	31
11	5	14	71	73	21	41	40	41
11	5	1	71	0	68	0	40	65535
11	5	6	71	90	21	60	40	36
11	5	66	71	77	13	46	40	41
11	13	15	100	100	65	13	23	42
11	13	20	100	100	74	11	23	31
11	13	14	100	73	64	28	23	41
11	13	1	100	0	100	0	23	65535
11	13	6	100	90	75	10	23	36
11	13	66	100	77	67	6	23	41
11	15	20	100	100	26	61	42	31
11	15	14	100	73	24	18	42	41
11	15	1	100	0	99	0	42	65535
11	15	6	100	90	25	62	42	36
11	15	66	100	77	33	22	42	41
11	20	14	100	73	75	11	31	41
11	20	1	100	0	97	0	31	65535
11	20	6	100	90	65	14	31	36
11	20	66	100	77	0	80	31	41
11	14	1	73	0	81	1	41	65535
11	14	6	73	90	11	65	41	36
11	14	66	73	77	30	27	41	41
11	1	6	0	90	0	85	65535	36
11	1	66	0	77	0	76	65535	41
11	6	66	90	77	64	14	36	41
12	19	0	75	0	0	0	17	65535
13	9	14	50	76	19	30	46	44
13	9	11	50	99	12	74	46	29
13	14	11	76	99	23	76	44	29
13	9	8	9	27	2	63	45	39
13	9	18	9	81	2	73	45	25
13	9	3	9	78	2	68	45	39
13	9	5	9	72	2	64	45	35
13	9	1	9	100	3	93	45	12
13	9	66	9	91	0	81	45	37
13	9	37	9	44	4	37	45	41
13	9	35	9	76	6	67	45	35
13	9	16	9	58	4	36	45	46
13	9	11	9	110	2	70	45	38
13	9	13	9	70	3	56	45	41
13	8	18	27	81	18	64	39	25
13	8	3	27	78	17	54	39	39
13	8	5	27	72	11	52	39	35
13	8	1	27	100	27	55	39	12
13	8	66	27	91	11	53	39	37
13	8	37	27	44	48	3	39	41
13	8	35	27	76	25	54	39	35
13	8	16	27	58	62	14	39	46
13	8	11	27	110	9	11	39	38
13	8	13	27	70	41	12	39	41
13	18	3	81	78	53	18	25	39
13	18	5	81	72	46	14	25	35
13	18	1	81	100	20	63	25	12
13	18	66	81	91	43	25	25	37
13	18	37	81	44	44	13	25	41
13	18	35	81	76	48	14	25	35
13	18	16	81	58	62	11	25	46
13	18	11	81	110	41	16	25	38
13	18	13	81	70	59	14	25	41
13	3	5	78	72	54	12	39	35
13	3	1	78	100	19	69	39	12
13	3	66	78	91	31	19	39	37
13	3	37	78	44	56	8	39	41
13	3	35	78	76	20	25	39	35
13	3	16	78	58	63	19	39	46
13	3	11	78	110	53	22	39	38
13	3	13	78	70	59	19	39	41
13	5	1	72	100	8	73	35	12
13	5	66	72	91	9	51	35	37
13	5	37	72	44	56	16	35	41
13	5	35	72	76	31	45	35	35
13	5	16	72	58	54	8	35	46
13	5	11	72	110	41	23	35	38
13	5	13	72	70	48	18	35	41
13	1	66	100	91	64	11	12	37
13	1	37	100	44	81	10	12	41
13	1	35	100	76	75	7	12	35
13	1	16	100	58	82	5	12	46
13	1	11	100	110	58	16	12	38
13	1	13	100	70	72	7	12	41
13	66	37	91	44	63	3	37	41
13	66	35	91	76	23	24	37	35
13	66	16	91	58	57	11	37	46
13	66	11	91	110	63	18	37	38
13	66	13	91	70	53	7	37	41
13	37	35	44	76	10	59	41	35
13	37	16	44	58	29	22	41	46
13	37	11	44	110	6	52	41	38
13	37	13	44	70	5	34	41	41
13	35	16	76	58	56	11	35	46
13	35	11	76	110	47	17	35	38
13	35	13	76	70	52	19	35	41
13	16	11	58	110	8	46	46	38
13	16	13	58	70	6	30	46	41
13	11	13	110	70	40	18	38	41
14	10	14	10	78	0	57	44	44
14	10	9	10	45	0	0	44	46
14	10	11	10	99	0	0	44	28
14	14	9	78	45	46	0	44	46
14	14	11	78	99	15	0	44	28
14	9	11	45	99	0	0	46	28
15	16	3	100	90	64	24	19	42
15	16	11	100	100	56	24	19	45
15	16	7	100	99	59	30	19	33
15	16	20	100	100	59	26	19	29
15	16	66	100	80	61	22	19	40
15	3	11	90	100	51	22	42	45
15	3	7	90	99	21	68	42	33
15	3	20	90	100	28	53	42	29
15	3	66	90	80	43	15	42	40
15	11	7	100	99	10	58	45	33
15	11	20	100	100	21	70	45	29
15	11	66	100	80	31	35	45	40
15	7	20	99	100	28	51	33	29
15	7	66	99	80	69	5	33	40
